Area;Year;Rate
Oregon;2013;7,9
Pennsylvania;2013;7,4
Rhode Island;2013;9,3
South Carolina;2013;7,6
South Dakota;2013;3,8
Tennessee;2013;7,8
Texas;2013;6,3
Utah;2013;4,6
Vermont;2013;4,4
Virginia;2013;5,7
Washington;2013;7,0
West Virginia;2013;6,8
Wisconsin;2013;6,7
Wyoming;2013;4,7
United States;2014;6,2
Alabama;2014;6,8
Alaska;2014;6,9
Arizona;2014;6,8
Arkansas;2014;6,0
California;2014;7,5
Colorado;2014;5,0
Connecticut;2014;6,6
Delaware;2014;5,7
District of Columbia;2014;7,8
Florida;2014;6,3
Georgia;2014;7,1
Hawaii;2014;4,4
Idaho;2014;4,8
Illinois;2014;7,1
Indiana;2014;6,0
Iowa;2014;4,2
Kansas;2014;4,5
Kentucky;2014;6,5
Louisiana;2014;6,4
Maine;2014;5,6
Maryland;2014;5,8
Massachusetts;2014;5,7
Michigan;2014;7,2
Minnesota;2014;4,2
Mississippi;2014;7,5
Missouri;2014;6,1
Montana;2014;4,7
Nebraska;2014;3,3
Nevada;2014;7,9
New Hampshire;2014;4,3
New Jersey;2014;6,8
New Mexico;2014;6,7
New York;2014;6,3
North Carolina;2014;6,3
North Dakota;2014;2,7
Ohio;2014;5,8
Oklahoma;2014;4,5
Oregon;2014;6,8
Pennsylvania;2014;5,9
Rhode Island;2014;7,7
South Carolina;2014;6,5
South Dakota;2014;3,4
Tennessee;2014;6,6
Texas;2014;5,1
Utah;2014;3,8
Vermont;2014;3,9
Virginia;2014;5,2
Washington;2014;6,1
West Virginia;2014;6,6
Wisconsin;2014;5,4
Wyoming;2014;4,1
United States;2015;5,3
Alabama;2015;6,1
Alaska;2015;6,5
Arizona;2015;6,1
Arkansas;2015;5,0
California;2015;6,2
Colorado;2015;3,9
Connecticut;2015;5,7
Delaware;2015;4,9
District of Columbia;2015;6,9
Florida;2015;5,5
Georgia;2015;6,0
Hawaii;2015;3,6
Idaho;2015;4,2
Illinois;2015;6,0
Indiana;2015;4,8
Iowa;2015;3,8
Kansas;2015;4,2
Kentucky;2015;5,3
Louisiana;2015;6,3
Maine;2015;4,4
Maryland;2015;5,1
Massachusetts;2015;4,8
Michigan;2015;5,4
Minnesota;2015;3,7
Mississippi;2015;6,4
Missouri;2015;5,0
Montana;2015;4,2
Nebraska;2015;3,0
Nevada;2015;6,8
New Hampshire;2015;3,4
New Jersey;2015;5,8
New Mexico;2015;6,5
New York;2015;5,3
North Carolina;2015;5,7
North Dakota;2015;2,8
Ohio;2015;4,9
Oklahoma;2015;4,4
Oregon;2015;5,6
Pennsylvania;2015;5,3
Rhode Island;2015;6,0
South Carolina;2015;6,0
South Dakota;2015;3,1
Tennessee;2015;5,6
Texas;2015;4,4
Utah;2015;3,6
Vermont;2015;3,6
Virginia;2015;4,5
Washington;2015;5,6
West Virginia;2015;6,7
Wisconsin;2015;4,6
Wyoming;2015;4,3
United States;2016;4,9
Alabama;2016;5,8
Alaska;2016;6,9
Arizona;2016;5,4
Arkansas;2016;4,0
California;2016;5,5
Colorado;2016;3,2
Connecticut;2016;5,1
Delaware;2016;4,5
District of Columbia;2016;6,1
Florida;2016;4,8
Georgia;2016;5,4
Hawaii;2016;3,0
Idaho;2016;3,8
Illinois;2016;5,8
Indiana;2016;4,4
Iowa;2016;3,6
Kansas;2016;4,0
Kentucky;2016;5,1
Louisiana;2016;6,1
Maine;2016;3,8
Maryland;2016;4,5
Massachusetts;2016;3,9
Michigan;2016;5,0
Minnesota;2016;3,9
Mississippi;2016;5,8
Missouri;2016;4,6
Montana;2016;4,1
Nebraska;2016;3,1
Nevada;2016;5,7
New Hampshire;2016;2,9
New Jersey;2016;5,0
New Mexico;2016;6,6
New York;2016;4,9
North Carolina;2016;5,1
North Dakota;2016;3,1
Ohio;2016;5,0
Oklahoma;2016;4,8
Oregon;2016;4,8
Pennsylvania;2016;5,4
Rhode Island;2016;5,2
South Carolina;2016;5,0
South Dakota;2016;3,0
Tennessee;2016;4,7
Texas;2016;4,6
Utah;2016;3,4
Vermont;2016;3,2
Virginia;2016;4,1
Washington;2016;5,3
West Virginia;2016;6,1
Wisconsin;2016;4,0
Wyoming;2016;5,3
